from,to
JLG,PHSH
RL,PHSH
AT,PHSH
GWN,PHSH
ELB,PHSK
AR,PHSK
RR,PHSK
DFX,PHSK
EWH,PHSS
HH,PHSS
CT,PHSS
AZ,PHSS
UH,PHSL
TB,PHSL
MM,PHSL
SS ,PHSL
US,PHSL
MT,PHSL
RMW,LB
WDN,FDP
WDN,ADMW
WDN,EW
WDN,BD
HR,UT
KMM,UZ
KMM,ScNa
ABH,ElSc
ABH,IHK
CM,OZ
CM,MG
SSL,DM
KH,SD
KH,VD
KH,HU
KH,RC
KH,FrHeFr
KH,FT
KH,FK
KH,TH
JLG,FL
RL,MLP
AT,GeSt
AT,HiHe
AT,DeKr
AT,NC
GWN,FHPM
GWN,SPD
GWN,AW
GWN,HC
GWN,DeTs
GWN,FD
GWN,HoBu
GWN,DTG
GWN,OU
GWN,WePf
AR,EvBa
AR,BG
RR,GE
RR,BU
RR,KG
RR,KaMe
RR,StGm
RR,StKl
RR,KF
RR,KB
RR,StHe
RR,BK
RR,VK
RR,RMO
RR,VJ
DF,SeSe
DF,DD
DF,CF
EWH,SI
HH,SZ
AZ,FEM
AZ,DGG
AZ,AIF
AZ,ZOS
AZ,EM
AZ,EA
AZ,EGL
UH,SBW
UniFre,SBL
UH,FrJe
UH,BL
TB,UT
TB,RoYoLi
MM,SC
SS,SWR
SS,FFT
MT,TT
MT,SELF
MBH,HSK
WG,HSK
CRR,HSK
TR,HSK
FP,HSK
AP,HSFR
RP,HSFR
KMR,HSFR
BB,HSFR
IB,HSFR
UK,HSO
KE,HSO
NO,HSO
MR,HSO
BSR,HSO
BSP,HSO
HT,HSWUNG
MRR,HSWUNG
SH,HSWUNG
WP,HSWUNG
SSR,HSWUNG
JS,HSWUNG
GB,HSTS
MD,HSTS
JLR,HSTS
WS,HSTS
MS,HSTS
MBH,KP
WG,FFBB
WG,GS
WG,SZBB
WG,IHK
TR,MKS
TR,ICC
MR,TRT
BSR,STBW
BSR,DS
BSP,FSF
BSP,BEM
WP,GePu
GB,DA
GB,DGVF
MDZ,HVBF
MDZ,FTR
MDZ,BF
MS,BDA
MS,ENA
MS,SDV
BB,EuMi
BB,UnHo
BB,GA
BB,EKFM
BB,TNL
BB,PID
KMR,VOE
KMR,AKLF
KMR,KSF
KMR,NSNS
KMR,TBW
KMR,ScTo
HSM,EE
HSM,UF
HSM,TP
HSM,MSR
KIT,RS
KIT,AK
KIT,CET
KIT,PG
KIT,SKH
KIT,WDL
KIT,SQ
KIT,VS
KIT,SSZ
KIT,MUH
KIT,DZ
HSH,HB
HSH,EDG
HSH,WH
HSH,SHT
HSH,ARS
HSH,PT
HSE,EMA
HSE,DBK
HSE,SLZ
HSE,CRH
HSE,TS
HSE,HS
HSB,DAS
HSB,MBR
HSB,WGDN
HSB,GL
HSB,SM
HSB,WM
HSAS,UJV
HSAS,TL
HSAS,UMR
HSAS,HMR
HSAS,SESR
HSA,MKE
HSA,FE
HSA,GG
HSA,JK
HSA,SKNN
HSA,MWR
HSKZ,SKT
HSKZ,AL
HSKZ,MDR
HSKZ,BEBN
HSKZ,TRE
HSF,EF
HSF,ALM
HSF,MRM
HSF,DSK
HSF,JSZ
HSF,MZ
DFHS,EE
IFM,EE
StMa,EE
DFG,EE
EB,EE
RIDLI,EE
DAA,EE
SDDV,EE
FES,EE
LCI,TP
ArMa,TP
VDPMUE,TP
SPD,UF
BDS,AL
EnSt,AL
KaRo,AL
TSFWF,AL
AH,BEBN
BDA,BEBN
KAKIK,BEBN
B,BEBN
PBGZDDPBUB,BEBN
DIFN,BEBN
BFB,BEBN
BuBa,BEBN
DSD,BEBN
IFS,BEBN
ETHWPF,RS
FRS,RS
CFROED,RS
OEBUVNW,RS
SN,RS
KSA,AK
CHBS,AK
FIFAUIS,CET
CFASRD,CET
VFDF,CET
OFFISII,CET
BITUNM,CET
ESB,CET
ADADT,CET
BADW,CET
VDV,HB
VDV,PG
TUB,WDL
MPI,WDL
ALS,WDL
JQS,SQ
BMWSHQ,SQ
ED,SQ
Su,SKT
LAIBW,SKT
BaWuIn,SKT
VDMABW,SKT
TUIG,DZ
HBS,SSZ
DEK,SSZ
DSS,WH
EEBW,ARS
PHK,ARS
TUM,PT
IEK,MZ
TF,MZ
FFGJ,DBK
BEB,TS
We,GL
UU,UJV
G,UJV
EISPE,UJV
EFB,UJV
H,MKE
DT,MKE
RB,MKE
DW,MKE
KIT,MKE
LMTGO,FE
StKa,AK
IHK,EDG
TUM,PT
BDDA,HS
ES,HS
DDS,HS
FIDW,HS
DFG,RS
DFG,VS
DFG,MUH
VDV,HB
LAIBW,DBK
VDMABW,DBK
VDMABW,TL
UU,MWR
