id,label,sex,birth,type
BDG,Bündnis 90/Die Grünen,0,na,1
GEW,Gewerkschaft Erziehung und Wissenschaft (GEW),0,na,1
BUND,Bund für Umwelt und Naturschutz Deutschland,0,na,1
KGT,Karlsruher Gemeinderat,0,na,1
KMK,KMK (Karlsruher Messe- und Kongress GmbH),0,na,1
SGG,Stadtmarketing GmbH,0,na,1
SKM,Städtisches Klinikum,0,na,1
KFG,Karlsruher Fächerbad GmbH,0,na,1
KB,Karlsruher Bädergesellschaft,0,na,1
SHK,Stiftungsrat Heimstiftung Karlsruhe,0,na,1
BKM,Badisches KONServatorium,0,na,1
VK,Volkshochschule Karlsruhe,0,na,1
RMO,Regionalverband Mittlerer Oberrhein,0,na,1
VJK,Verein für Jugendhilfe Karlsruhe e.V,0,na,1
SSC,Secorvo Security Consulting GmbH,0,na,1
DUD,Datenschutz und Datensicherheit,0,na,1
CF,CyberForum e.V.,0,na,1
SIMK,Stiftung Internationale Musikschulakademie Kulturzentrum Schloss Kapfenburg,0,na,1
SZI,Stauferklinikum - Zentrum für Innere Medizin,0,na,1
FEM,Forschungsinstitut für Edelmetalle und Metallchemie,0,na,1
DGG,Deutsche Gesellschaft für Galvano- und Oberflächentechnik,0,na,1
AIF,Arbeitsgemeinschaft industrieller Forschungsvereinigungen,0,na,1
ZOS,Zentrum für Oberflächentechnik Schwäbisch Gmünd e.V.,0,na,1
EM,Edelmetallverband e.V.,0,na,1
EAST,European Academy of Surface Technology,0,na,1
EGL,Eugen G. Leuze Verlag,0,na,1
SBW,Staatsgerichtshof Baden-Württemberg,0,na,1
SBL,Sozialberatung Ludwigsburg e.V,0,na,1
FJ,Freundeskreis Jevpatorija e.V,0,na,1
BL,Bürgerstiftung Ludwigsburg,0,na,1
RYL,Rock Your Life,0,na,1
SC,Sumida Corporation,0,na,1
FFT,Französische Filmtage Tübingen-Stuttgart,0,na,1
TT,Toker telecom,0,na,1
SELF,SELF e.V.,0,na,1
DA,Deutsche Aktuarvereinigung,0,na,1
DGVF,Deutsche Gesellschaft für Versicherungs- und Finanzmathematik ,0,na,1
FTR,FinTechRat,0,na,1
BF,Bitkom Fachausschuss,0,na,1
HVBF,HVB Frauenbeirat,0,na,1
ENA,European Network Architecture,0,na,1
GPN,Geschichtsverein Pfullingen ,0,na,1
TRT,TriRhenaTech,0,na,1
DS,Deutscher Städtetag,0,na,1
STBW,Städtetag Baden-Württemberg,0,na,1
FSF,Friesenheimer Schul-Förderverein,0,na,1
BEM,Bürger-Energiegenossenschaft E-Werk Mittelbaden,0,na,1
KP,Karlsruher Präsidentinnen,0,na,1
FFBB,Freundeskreis Festspielhaus Baden-Baden,0,na,1
GS,Grenke-Stiftung,0,na,1
SZBB,Schachzentrum Baden-Baden,0,na,1
MKS,Münchner Kreis,0,na,1
ICC,Industrial Consortium Committee,0,na,1
VOE,Verwaltungsrat der Oberschwäbischen Elektrizitätswerke,0,na,1
EMK,Europa Miniköche,0,na,1
UHH,Universität Hohenheim,0,na,2
GA,Gärtnern für Alle,0,na,1
EKFM,Europäisches KulturForum Mainau,0,na,1
TNL,Tagung der Nobelpreisträger in Lindau,0,na,1
PID,Plan International Deutschland,0,na,1
AKLF,Aufsichtsrat der Krankenhäuser Landkreis Freudenstadt,0,na,1
KSF,Kreissparkasse Freudenstadt,0,na,1
NSNS,Nationalpark-Rat des Nationalparks Schwarzwald,0,na,1
TBW,Tourismusverband Baden-Württemberg,0,na,1
SWT,Schwarzwald Tourismus ,0,na,1
DFHS,Deutsch-Französischen Hochschule,0,na,1
IFM,Institut français Mannheim,0,na,1
SMM,Stadt Mannheim,0,na,1
DFG,Deutsche Forschungsgemeinschaft,0,na,1
EB,Editorial Board,0,na,1
RIDLI,Revista Internacional de Lingüística Iberorrománica,0,na,1
DAA,Deutscher Akademischer Austauschdienst,0,na,1
SDDV,Studienstiftung des Deutschen Volkes,0,na,1
FES,Friedrich-Ebert-Stiftung,0,na,1
LCI,Lions Clubs International,0,na,1
AMM,Arbeitsgericht Mannheim,0,na,1
VDPMUE,Verband der Pfälzischen Metall- und Elektroindustrie e. V.,0,na,1
BDS,Bauen digital Schweiz,0,na,1
ESG,Enterprise Stiftung,0,na,1
KRN,Kantonsschule Romanshorn,0,na,1
TSFWF,Thurgauische Stiftung für Wissenschaft und Forschung,0,na,1
AH,Architektenkammer Hessen,0,na,1
BDA,Bund Deutscher Architekten,0,na,1
KAKIK,Kasseler Architekturzentrum im Kulturbahnhof,0,na,1
B,Bundesarchitektenkammer e.V.,0,na,1
PBGZDDPBUB,"planen-bauen 4.0 – Gesellschaft zur Digitalisierung des Planens, Bauens und Betreibens mbH",0,na,1
