id,label,sex,birth,type
IAOG,International Association of Geomorphologists,0,na,1
DADT,Deutsche Akademie der Technikwissenschaften,0,na,1
MRN,Metropolregion Rhein-Neckar,0,na,1
DAI,Deutschen Archaeologischen Instituts,0,na,1
DADNL,Deutsche Akademie der Naturforscher Leopoldina ,0,na,1
KDFHB,Kultur der Freien Hansestadt Bremen,0,na,1
GrPe,Greenpeace,0,na,1
TiBr,Tierschutzverein Bremen,0,na,1
ArWo,Arbeitswohlfahrt,0,na,1
ASB,Arbeiter-Samariter-Bund,0,na,1
DeSc,Deutsche Schillergesellschaft,0,na,1
KuBr,Kunstverein Bremen,0,na,1
BP,Bremer Philharmoniker,0,na,1
JKSB,Jugend Kunst Stiftung Bremen ,0,na,1
ThBr,Theater Bremen ,0,na,1
FM,Focke-Museum ,0,na,1
UeMu,Uebersee-Museum,0,na,1
MuBr,Musikfeste Bremen,0,na,1
GV,Glocke Veranstaltungs GmbH,0,na,1
BDI,Bundesministeriums des Innern,0,na,1
ZJ,Zentralarchiv Juden,0,na,1
FH,Finanzministerkonferenz Hessen,0,na,1
SDV,Studienstiftung des deutschen Volkes ,0,na,1
HIAA,Heidelberger Inspiration am Abend ,0,na,1
LDJGIH,Landesverband der Juedischen Gemeinden in Hessen,0,na,1
ZDJID,Zentralrat der Juden in Deutschland,0,na,1
JGO,Juedische Gemeinde Offenbach,0,na,1
LBS,Ludwig-Boerne-Stiftung,0,na,1
ESKZS,Europaeische Stiftung Kaiserdom zu Speyer,0,na,1
JWGU,Johann Wolfgang Goethe-Universitaet,0,na,1
IBPFV,Ignatz-Bubis-Preis fuer Verstaendigung,0,na,1
SDFDEJE,Stiftung Denkmal fuer die ermordeten Juden Europas,0,na,1
DeNa,Deutsche Nationalstiftung,0,na,1
FFJSUK,Foerdervereins fuer Jiddische Sprache und Kultur e. V,0,na,1
ASF,Aktion Suehnezeichen Friedensdienste,0,na,1
SJ,Stiftung 20. Juli 1944,0,na,1
OIDHS,Oper in der Hersfelder Stiftsruine,0,na,1
FDDF,Freundeskreis des Deutschen Filminstituts e. V,0,na,1
WRG,Walther Rathenau Gesellschaft e. V.,0,na,1
ZDF,Zweite Deutsche Fernsehen,0,na,1
AJC,American Jewish Committee,0,na,1
SFI,Sigmund-Freud-Institut,0,na,1
LBI,Leo Baeck Instituts,0,na,1
SADWZL,Saechsischen Akademie der Wissenschaften zu Leipzig,0,na,1
JMB,Juedisches Museum Berlin,0,na,1
LB,Leutkircher Bank,0,na,1
FDP,FDP,0,na,1
ADMW,ADMW GmbH,0,na,1
EW,Europaeisches Wirtschaftsforum,0,na,1
BD,Bundesverbands Deutscher Mittelstand,0,na,1
UR,Universitaet Regensburg,0,na,1
UZ,Universitaet Zuerich,0,na,1
ScNa,Schweizerischer Nationalfonds SNF,0,na,1
ElSc,Elektro-Schillinger GmbH,0,na,1
IHK,IHK Industrie- und Handelskammer ,0,na,1
OZ,OZ-Verlags-GmbH,0,na,1
MG,Media Group Medweth GmbH,0,na,1
SD,Stiftung der Deutschen Wirtschaft,0,na,1
VD,Verband deutscher Unternehmerinnen,0,na,1
HU,Heidelberger Unternehmerinnen e.V.,0,na,1
FrHeFr,Freundeskreis des Heidelberger Fruehlings,0,na,1
FT,Freundeskreis des Theaters & Philharmonischen Orchesters,0,na,1
FK,Freundeskreis des Kurpfaelzischen Museums,0,na,1
TH,Tiergartenfreunde Heidelberg e.V.,0,na,1
FL,Fuehrungsakademie des Landes Baden-Wuerttemberg,0,na,1
MLP,MLP Finanzberatung SE,0,na,1
GeSt,German Stem Cell Network (GSCN),0,na,1
HiHe,Hi-stem - Heidelberg gGmbH,0,na,1
DeKr,Deutsches Krebsforschungszentrum,0,na,1
NC,Nationales Centrum fuer Tumorerkrankungen,0,na,1
FHPM,Fachhochschule Potsdam,0,na,1
AW,Arbeiterwohlfahrt,0,na,1
HC,Helsinki Citizens’ Assembly (HCA),0,na,1
DeTs,Deutsch - Tschechische und Slowakische Gesellschaft e.V.,0,na,1
FD,Forum Demokratischer Sozialismus,0,na,1
HoBu,Hochschule der Bundesagentur fuer Arbeit,0,na,1
DTG,Deutsch-Technisches Gespreachsforum,0,na,1
OU,Open University of Israel e.V.,0,na,1
WePf,Weißer Pfau e.V.,0,na,1
EvBa,Evaluationsagentur Baden-Wuerttemberg,0,na,1
BG,Buendnis 90/Die Gruenen,0,na,1
GE,Gewerkschaft Erziehung und Wissenschaft (GEW),0,na,1
BU,Bund fuer Umwelt und Naturschutz Deutschland,0,na,1
KG,Karlsruher Gemeinderat,0,na,1
KaMe,KMK (Karlsruher Messe- und Kongress GmbH),0,na,1
StGm,Stadtmarketing GmbH,0,na,1
StKl,Staedtisches Klinikum,0,na,1
KF,Karlsruher Faecherbad GmbH,0,na,1
KB,Karlsruher Baedergesellschaft,0,na,1
StHe,Stiftungsrat Heimstiftung Karlsruhe,0,na,1
BK,Badisches Konservatorium,0,na,1
VK,Volkshochschule Karlsruhe,0,na,1
RMO,Regionalverband Mittlerer Oberrhein,0,na,1
VJ,Verein fuer Jugendhilfe Karlsruhe e.V,0,na,1
SeSe,Secorvo Security Consulting GmbH,0,na,1
DD,Datenschutz und Datensicherheit,0,na,1
CF,CyberForum e.V.,0,na,1
